阿姨	āyí	aunt
怀念	huáiniàn	miss
怀疑	huáiyí	doubt
缓解	huǎnjiě	relieve
黄瓜	huáng guā	cucumber; cuke
黄金	huángjīn	gold
回复	huí fù	reply
汇	huì	remit; converge; collection; collected things
汇报	huìbào	report
汇率	huìlǜ	exchange rate
婚礼	hūnlǐ	wedding
火（形）	huǒ	fiery; flaming; urgent
伙	huǒ	partner; partnership
伙伴	huǒbàn	partner
或许	huòxǔ	maybe; probably
货	huò	goods; commodity; money
获	huò	obtain; win; reap; capture; catch
获得	huòdé	get
获奖	huò jiǎng	win a prize; receive an award
获取	huò qǔ	gain; obtain
几乎	jīhū	almost
机构	jīgòu	mechanism
机遇	jīyù	opportunity
积累	jīlěi	accumulation
激动	jīdòng	excited
激烈	jīliè	fierce
及格	jígé	pass
极	jí	extremely
极其	jíqí	extremely
即将	jíjiāng	soon
急忙	jímáng	hastily
集合	jíhé	aggregate
记载	jìzǎi	record
纪律	jìlǜ	discipline
技巧	jìqiǎo	skill
系	xì	department
季	jì	season; period
季度	jìdù	quarter (of a year)
季节	jìjié	season
既	jì	already; since; as
既然	jìrán	since
寄	jì	send
加班	jiābān	overtime work
加入	jiā rù	add; mix; join; become a member
加油站	jiāyóuzhàn	gas station
家务	jiāwù	housework
假如	jiǎrú	if
坚固	jiāngù	strong
检测	jiǎn cè	detect; test
减	jiǎn	subtract; reduce; decrease; cut; minus
减肥	jiǎnféi	reduce weight
减少	jiǎnshǎo	reduce
简历	jiǎnlì	resume
健身	jiànshēn	workout
渐渐	jiàn jiàn	gradually; step by step
江	jiāng	river
讲究	jiǎngjiu	pay attention to, stress
讲座	jiǎngzuò	lecture
奖	jiǎng	award; prize; reward
奖金	jiǎngjīn	bonus
奖学金	jiǎng xué jīn	scholarship; fellowship
降	jiàng	fall; drop; descend; come down; lower
降低	jiàngdī	reduce
降价	jiàng jià	cut price; reduce price
降落	jiàngluò	land
降温	jiàng wēn	lower the temperature; drop in temperature
交换	jiāohuàn	exchange
交际	jiāojì	communication
教授	jiàoshòu	professor
教训	jiàoxùn	lesson
阶段	jiēduàn	stage
街道	jiēdào	street
节省	jiéshěng	save
结	jié	bear; form; knit; knot
结构	jiégòu	structure
结论	jiélùn	conclusion
姐妹	jiě mèi	sisters
解释	jiěshì	explain
尽快	jǐnkuài	as soon as possible
紧密	jǐn mì	close; inseparable
尽力	jìnlì	try the best
进口	jìnkǒu	imported
近代	jìndài	modern
禁止	jìnzhǐ	prohibit
经典	jīngdiǎn	classics; scriptures
精力	jīnglì	energy
竟然	jìngrán	unexpectedly
镜头	jìngtóu	camera lens
镜子	jìngzi	mirror
究竟	jiūjìng	exactly
酒吧	jiǔbā	bar
居民	jūmín	residents
居住	jūzhù	live
局（名）	jú	bureau; part; portion; innings; gathering
巨大	jùdà	huge
具备	jùbèi	have, possess
距离	jùlí	distance
聚	jù	assemble; gather; get together
聚会	jùhuì	party
卷	juǎn	roll, curly, reel
卷	juàn	volume; file
角色	juésè	role
开花	kāi huā	flower; bloom; blossom
开水	kāishuǐ	boiling water
看不起	kànbuqǐ	despise
看来	kàn lái	it seems; it appears
看望	kànwàng	visit
考察	kǎochá	investigate
考虑	kǎolǜ	consider
棵	kē	tree (measure word)
可见	kějiàn	so
空间	kōngjiān	space
空	kōng	empty
口袋	kǒu dài	pocket
口语	kǒu yǔ	spoken language
苦	kǔ	bitter
会计	kuàijì	accountant
快递	kuài dì	express delivery
宽	kuān	wide
宽广	kuān guǎng	broad; vast; extensive
矿泉水	kuàngquánshuǐ	mineral water
扩大	kuòdà	expand
扩展	kuò zhǎn	expand; extend; spread; develop
括号	kuò hào	brackets; parentheses
垃圾	lā jī	rubbish; garbage; refuse; waste
拉开	lā kāi	pull open; undraw; zip
辣	là	hot, spicy
来不及	láibují	there's not enough time
来得及	láidejí	in time
来源	láiyuán	source
老公	lǎo gōng	husband
老家	lǎo jiā	hometown; home state
老婆	lǎopó	wife
老实	lǎoshi	honest
乐趣	lèqù	pleasure
泪	lèi	tear; teardrop
泪水	lèi shuǐ	tear; teardrop
类型	lèixíng	type
冷静	lěngjìng	calm down
厘米	límǐ	centimeter
离不开	lí bù kāi	can't do without
力气	lìqi	strength
历史	lìshǐ	history
立即	lìjí	immediately
利息	lìxī	accrual; interest
利益	lìyì	interest
俩	liǎ	two
良好	liánghǎo	good
量	liáng	measure; estimate; amount
粮食	liángshi	foodstuff
两边	liǎng biān	both sides
疗养	liáo yǎng	recuperate; convalesce
了不起	liǎobuqǐ	amazing
了解	liǎojiě	understand
列	liè	arrange; line up; list
列车	lièchē	train
列入	liè rù	included in
列为	liè wéi	be classified as; listed as
临时	línshí	temporary
零食	língshí	snacks
流传	liúchuán	spread
楼梯	lóu tī	stairs; staircase; stairway
陆地	lùdì	land
陆续	lùxù	one after another
录取	lùqǔ	matriculate
律师	lǜshī	lawyer
轮	lún	wheel; ring; take turns
轮船	lúnchuán	ship
轮椅	lún yǐ	wheelchair
轮子	lún zi	wheel
论文	lùnwén	paper
落	luò	fall; drop; go down; set; decline; drop behind
毛巾	máojīn	towel
毛衣	máo yī	sweater; wool sweater
帽子	màozi	hat
没错	méi cuò	that's right
没法儿	méi fǎr	can not; no way
没想到	méi xiǎng dào	didn't expect
美金	měi jīn	USD; dollar
美女	měi nǚ	belle ; beauty; beautiful woman
梦	mèng	dream
梦见	mèng jiàn	see in a dream; dream about; dream
梦想	mèngxiǎng	dream
秘密	mìmì	secret
秘书	mìshū	secretary
密	mì	thick; secret; close; dense
密码	mìmǎ	password
密切	mìqiè	close
免费	miǎnfèi	free of charge
面临	miànlín	face
面试	miàn shì	interview; audition
描述	miáo shù	describe; depict; description
描写	miáoxiě	describe
名牌儿	míng páir	famous brand
名片	míngpiàn	business card
名人	míng rén	celebrity; famous person
摸	mō	feel
模特儿	mó tèr	model
模型	móxíng	model
末	mò	end; last; final stage
默默	mòmò	silently
哪怕	nǎpà	even if
哪	nǎ	which
男女	nán nǚ	men and women; male and female
男士	nán shì	man
难免	nánmiǎn	unavoidable
脑袋	nǎodai	head
闹	nào	noisy; make a noise; suffer; be troubled
闹钟	nào zhōng	alarm clock
内部	nèibù	interior
内科	nèikē	internal medicine
能干	nénggàn	capable
宁静	níng jìng	peaceful; tranquil; quiet
浓	nóng	strong
女士	nǚshì	ma'am
暖气	nuǎn qì	central heating; heating; heater
拍照	pāi zhào	take a picture; photograph
排列	páiliè	array
牌	pái	brand; cards; plate; tablet
盘（名、量）	pán	tray; plate; dish; current price; game; set; (measure word)
盘子	pánzi	plate
胖子	pàng zi	fat person; fatty
培训	péixùn	train
培训班	péi xùn bān	training class
培养	péiyǎng	culture
培育	péiyù	cultivation
批（动）	pī	criticize; batch
批（量）	pī	(measure word)
片面	piànmiàn	one-sided
品质	pǐnzhì	quality
平方	píngfāng	square
平静	píngjìng	calm
平均	píngjūn	average
平稳	píng wěn	smooth; steady
迫切	pòqiè	urgent
破产	pòchǎn	bankruptcy
妻子	qīzi	wife
期待	qīdài	expect; look forward to
期间	qījiān	period
期末	qī mò	end of term
期限	qīxiàn	term
期中	qī zhōng	midterm
其余	qíyú	rest
企业	qǐyè	enterprise
气球	qì qiú	balloon
汽水	qì shuǐ	soda; soda water; aerated water; sparkling water
汽油	qìyóu	gasoline
器官	qìguān	organ
前头	qián tou	front; thereinbefore
前途	qiántú	future
浅	qiǎn	shallow
巧克力	qiǎokèlì	chocolates
切	qiē	cut
亲爱	qīn'ài	dear
亲密	qīnmì	close
青春	qīngchūn	youth
轻松	qīngsōng	relaxed
轻易	qīngyì	easily
清醒	qīngxǐng	sober
情景	qíngjǐng	scene
穷	qióng	poor
穷人	qióng rén	poor people; the poor
秋季	qiū jì	autumn; fall
趋势	qūshì	trend
圈	quān	circle
权利	quánlì	right
却	què	but
确认	quèrèn	confirm
然而	rán'ér	however
燃料	rán liào	fuel
燃烧	ránshāo	burning
热闹	rènao	lively
热心	rèxīn	enthusiastic
人家	rénjiā	family
日记	rìjì	diary
日历	rìlì	calendar
如今	rújīn	nowadays
弱	ruò	weak
伞	sǎn	umbrella
