啊	a	ah
筷子	kuàizi	chopsticks
拉	lā	pull
来自	láizì	come from
蓝	lán	blue
蓝色	lán sè	blue
篮球	lán qiú	basketball
老（副）	lǎo	always; constantly
老（老王）	lǎo （ lǎo wáng ）	noun prefix (Lao Wang)
老年	lǎo nián	elderly
老朋友	lǎo péng yǒu	old friend
老是	lǎo shì	always; all times
离	lí	leave
离开	líkāi	leave
礼物	lǐwù	gift
里头	lǐ tou	inside
理想	lǐxiǎng	ideal
例如	lìrú	for example
例子	lì zi	example
脸	liǎn	face
练	liàn	practice; train
练习	liànxí	practice
凉	liáng	cool
凉快	liángkuai	pleasantly cool
两（量）	liǎng	a unit of weight (=50 grams)
亮	liàng	bright
辆	liàng	car (measure word)
零下	líng xià	below zero
留	liú	stay
留下	liú xià	stay; remain
留学生	liú xué shēng	student studying abroad; returned student
流	liú	flow; spread
流利	liúlì	fluent
流行	liúxíng	popular
路边	lù biān	roadside; wayside
旅客	lǚ kè	passenger; traveler
旅行	lǚxíng	travel
旅游	lǚyóu	tourism
绿	lǜ	green
绿色	lǜ sè	green
卖	mài	sell
满	mǎn	full
满意	mǎnyì	satisfied
猫	māo	cat
米（量）	mǐ	meter
面¹（名、量）	miàn ¹	(measure word); side; aspect
面²（名）	miàn ²	face; surface; outside; side; scale; flour
面前	miàn qián	in front of; before
名	míng	name
名称	míng chēng	name; designation
名单	míng dān	list
明星	míngxīng	star
目的	mùdì	objective
拿出	ná chū	take out
拿到	ná dào	get
那（连）	nà	then; in that case
那会儿	nà huìr	at that time; then
那么	nà me	like that; in that way
那时候	nà shí hou	at that time
那样	nà yàng	that kind; like that; such
南方	nán fāng	south
难过	nánguò	sorry
难看	nán kàn	ugly
难受	nánshòu	uncomfortable
难题	nán tí	problem; difficult problem; puzzle
难听	nán tīng	unpleasant to hear
能够	néng gòu	be able to; can
年级	niánjí	grade
年轻	niánqīng	young
鸟	niǎo	bird
弄	nòng	get, make
努力	nǔlì	strive
爬	pá	climb; creep; scramble
爬山	páshān	mountain climbing
怕（动）	pà	be afraid; fear; dread
排（名、量）	pái	row; line
排队	páiduì	queue; stand in a line
排球	pái qiú	volleyball
碰	pèng	touch, meet
碰到	pèng dào	meet; run into; bump into
碰见	pèng jiàn	meet; run into; bump into
篇	piān	piece
便宜	piányi	cheap
片	piàn	slice
漂亮	piàoliang	well done!； beautiful
平	píng	flat
平安	píng'ān	sound and safe
平常	píngcháng	usual
平等	píngděng	equality
平时	píngshí	normally
瓶	píng	bottle
瓶子	píngzi	bottle
普通	pǔ tōng	ordinary; general; average; common
普通话	pǔtōnghuà	Mandarin
其他	qítā	other
其中	qízhōng	among
骑	qí	ride
骑车	qí chē	cycle
起飞	qǐfēi	take off
气	qì	air; gas; breath
气温	qì wēn	air temperature
千	qiān	thousand
千克	qiān kè	kilogram
前年	qián nián	the year before last
墙	qiáng	wall
青年	qīng nián	youth; young
青少年	qīngshàonián	teenagers
轻	qīng	light
清楚	qīngchu	clear
晴	qíng	sunny
晴天	qíng tiān	sunny day
请客	qǐng kè	stand treat; entertain
请求	qǐngqiú	request
秋天	qiū tiān	fall; autumn
求	qiú	request; beg; entreat; beseech
球场	qiú chǎng	court; field
球队	qiú duì	team
球鞋	qiú xié	sneakers; gym shoes
取	qǔ	take
取得	qǔ dé	acquire; gain; obtain
全	quán	whole; entire; complete
全部	quánbù	whole
全国	quán guó	nationwide; entire country
全家	quán jiā	whole family
全年	quán nián	annual; yearly
全身	quán shēn	whole body
全体	quán tǐ	all; entire; whole
然后	ránhòu	then
让	ràng	give way
热情	rèqíng	enthusiasm
人口	rénkǒu	population
人们	rén men	people
人数	rén shù	number of people
认为	rènwéi	think
日报	rì bào	daily, journal
日子	rìzi	life, days
如果	rúguǒ	if
入口	rùkǒu	entrance
商量	shāngliang	discuss
商人	shāng rén	businessman
上周	shàng zhōu	last week
少数	shǎo shù	small number; few; minority
少年	shào nián	juvenile; young person
身边	shēn biān	at [by] one's side
什么样	shén me yàng	what kind
生（动）	shēng	give birth; be born
生词	shēng cí	new word
生活	shēnghuó	life
声音	shēngyīn	voice
省（名）	shěng	province
省（动）	shěng	economize; save; omit; leave out
十分	shífēn	very
实际	shíjì	actual
实习	shíxí	internship
实现	shíxiàn	realization
实在	shízài	real; indeeed
实在	shízai	done carefully
食物	shíwù	food
使用	shǐyòng	use
市	shì	city
市长	shì zhǎng	mayor
事情	shìqing	thing
收	shōu	collect
收到	shōu dào	receive; obtain
收入	shōurù	income
手表	shǒubiǎo	wrist watch
受到	shòudào	suffer
舒服	shūfu	comfortable
熟	shú	ripe; cooked; familiar; skilled
数	shǔ	to count
数字	shùzì	number
水平	shuǐpíng	level
顺利	shùnlì	smoothly
说明	shuōmíng	explain
司机	sījī	driver
